        1	2021-07-04 11:01:23	1	0	15	0
        1	2021-07-04 11:01:25	1	0	15	0
        2	2021-07-04 14:29:38	1	0	15	0
        2	2021-07-04 14:29:40	1	0	15	0
        4	2021-07-04 17:04:08	1	0	1	0
        6	2021-07-05 07:47:44	1	0	1	0
        2	2021-07-05 07:48:31	1	0	1	0
        9	2021-07-05 08:01:54	1	0	15	0
        9	2021-07-05 08:01:56	1	0	15	0
        7	2021-07-05 08:09:18	1	0	1	0
        5	2021-07-05 08:17:20	1	0	15	0
        8	2021-07-05 08:48:23	1	0	15	0
        8	2021-07-05 16:52:19	1	0	15	0
       10	2021-07-06 07:02:15	1	0	15	0
       10	2021-07-06 07:02:17	1	0	15	0
       10	2021-07-06 07:02:25	1	0	15	0
        2	2021-07-06 07:33:11	1	0	1	0
        5	2021-07-06 07:48:29	1	0	15	0
        9	2021-07-06 08:04:17	1	0	1	0
        6	2021-07-06 08:15:47	1	0	1	0
        7	2021-07-06 08:17:14	1	0	15	0
        4	2021-07-06 08:33:26	1	0	1	0
        2	2021-07-06 16:10:19	1	0	15	0
        6	2021-07-06 16:33:12	1	0	1	0
        9	2021-07-06 16:45:06	1	0	1	0
        5	2021-07-06 17:15:27	1	0	15	0
        5	2021-07-06 17:15:29	1	0	15	0
        4	2021-07-06 17:44:42	1	0	15	0
        7	2021-07-06 18:08:21	1	0	15	0
        8	2021-07-06 18:29:47	1	0	15	0
        8	2021-07-06 18:29:49	1	0	15	0
       10	2021-07-06 18:56:15	1	0	15	0
       10	2021-07-07 06:58:09	1	0	15	0
        4	2021-07-07 07:13:42	1	0	1	0
        6	2021-07-07 07:44:14	1	0	1	0
        2	2021-07-07 07:44:33	1	0	15	0
        2	2021-07-07 07:44:35	1	0	15	0
        2	2021-07-07 07:44:52	1	0	15	0
        2	2021-07-07 07:44:54	1	0	15	0
        5	2021-07-07 07:53:13	1	0	15	0
        7	2021-07-07 07:57:18	1	0	15	0
        3	2021-07-07 08:17:13	1	0	15	0
        9	2021-07-07 08:26:35	1	0	1	0
        8	2021-07-07 08:47:36	1	0	15	0
        8	2021-07-07 08:47:38	1	0	15	0
        8	2021-07-07 08:48:21	1	0	15	0
       10	2021-07-07 20:00:36	1	0	1	0
       10	2021-07-08 08:25:08	1	0	15	0
        9	2021-07-08 08:33:16	1	0	1	0
        9	2021-07-08 11:58:40	1	0	1	0
       10	2021-07-08 18:37:01	1	0	15	0
       10	2021-07-09 09:59:21	1	0	15	0
       10	2021-07-09 16:44:10	1	0	15	0
       10	2021-07-10 07:22:18	1	0	15	0
       10	2021-07-10 07:22:20	1	0	15	0
       10	2021-07-10 07:22:26	1	0	15	0
        2	2021-07-10 07:24:04	1	0	15	0
        5	2021-07-10 07:35:28	1	0	15	0
        9	2021-07-10 07:57:14	1	0	1	0
        6	2021-07-10 08:06:07	1	0	1	0
        8	2021-07-10 08:06:39	1	0	15	0
        4	2021-07-10 08:22:15	1	0	1	0
        3	2021-07-10 08:22:42	1	0	1	0
        7	2021-07-10 08:32:04	1	0	15	0
        2	2021-07-10 16:08:25	1	5	15	0
        5	2021-07-10 16:43:43	1	5	15	0
        9	2021-07-10 16:47:45	1	5	1	0
        6	2021-07-10 16:51:07	1	5	1	0
        3	2021-07-10 17:08:18	1	5	1	0
        8	2021-07-10 18:17:54	1	5	15	0
        4	2021-07-10 18:46:00	1	0	1	0
        7	2021-07-10 18:46:51	1	0	15	0
       10	2021-07-10 19:54:37	1	0	1	0
       10	2021-07-11 07:19:03	1	0	1	0
        2	2021-07-11 07:23:18	1	0	15	0
        4	2021-07-11 07:27:45	1	0	1	0
        6	2021-07-11 07:49:26	1	0	1	0
        5	2021-07-11 07:59:02	1	0	15	0
        5	2021-07-11 07:59:04	1	0	15	0
        7	2021-07-11 07:59:12	1	0	15	0
        5	2021-07-11 07:59:18	1	0	15	0
        9	2021-07-11 08:30:07	1	0	1	0
        3	2021-07-11 08:31:47	1	0	15	0
        8	2021-07-11 08:34:04	1	0	15	0
        4	2021-07-11 20:25:52	1	0	1	0
       10	2021-07-11 21:11:17	1	0	1	0
       10	2021-07-12 07:16:57	1	0	1	0
        2	2021-07-12 07:19:55	1	0	15	0
        4	2021-07-12 07:27:59	1	0	1	0
        3	2021-07-12 07:31:11	1	0	15	0
        9	2021-07-12 07:43:35	1	0	1	0
        6	2021-07-12 07:53:00	1	0	1	0
        7	2021-07-12 08:12:41	1	0	15	0
        8	2021-07-12 09:23:14	1	0	15	0
       10	2021-07-12 11:39:55	1	0	1	0
        3	2021-07-12 15:35:28	1	0	1	0
        2	2021-07-12 15:47:07	1	0	15	0
        2	2021-07-12 15:47:09	1	0	15	0
        2	2021-07-12 15:47:18	1	0	1	0
        9	2021-07-12 16:35:01	1	0	1	0
        6	2021-07-12 17:08:57	1	0	15	0
        7	2021-07-12 17:15:30	1	0	15	0
        4	2021-07-12 17:24:15	1	0	15	0
        8	2021-07-12 17:25:13	1	0	15	0
        4	2021-07-13 07:24:57	1	0	1	0
        2	2021-07-13 07:32:46	1	0	15	0
        3	2021-07-13 07:33:53	1	0	1	0
        6	2021-07-13 08:03:38	1	0	1	0
        7	2021-07-13 08:08:55	1	0	15	0
        8	2021-07-13 08:25:14	1	0	1	0
        5	2021-07-13 08:30:27	1	0	15	0
        9	2021-07-13 09:03:21	1	0	1	0
        2	2021-07-13 16:12:38	1	0	15	0
        2	2021-07-13 16:12:40	1	0	15	0
        2	2021-07-13 16:12:54	1	0	1	0
        9	2021-07-13 16:50:09	1	0	1	0
        6	2021-07-13 17:15:51	1	0	1	0
        8	2021-07-13 17:21:06	1	0	1	0
        5	2021-07-13 17:34:59	1	0	15	0
        7	2021-07-13 20:05:12	1	0	15	0
        4	2021-07-13 20:06:23	1	0	1	0
        4	2021-07-14 07:06:42	1	0	1	0
        3	2021-07-14 07:31:15	1	0	15	0
        2	2021-07-14 07:31:27	1	0	15	0
        2	2021-07-14 07:31:29	1	0	15	0
